2026-05-03 03:01:15,685 | INFO | fetch_stocks | Stored 248 rows | ticker=POWERGRID.NS
2026-05-03 03:01:16,187 | INFO | fetch_stocks | [22/50] Processing | ticker=NTPC.NS
2026-05-03 03:01:16,902 | INFO | fetch_stocks | Initial fetch | ticker=NTPC.NS
2026-05-03 03:01:18,140 | INFO | fetch_stocks | Stored 248 rows | ticker=NTPC.NS
2026-05-03 03:01:18,642 | INFO | fetch_stocks | [23/50] Processing | ticker=TECHM.NS
2026-05-03 03:01:19,322 | INFO | fetch_stocks | Initial fetch | ticker=TECHM.NS
2026-05-03 03:01:20,419 | INFO | fetch_stocks | Stored 248 rows | ticker=TECHM.NS
2026-05-03 03:01:20,921 | INFO | fetch_stocks | [24/50] Processing | ticker=HCLTECH.NS
2026-05-03 03:01:21,588 | INFO | fetch_stocks | Initial fetch | ticker=HCLTECH.NS
2026-05-03 03:01:22,686 | INFO | fetch_stocks | Stored 248 rows | ticker=HCLTECH.NS
2026-05-03 03:01:23,187 | INFO | fetch_stocks | [25/50] Processing | ticker=ONGC.NS
2026-05-03 03:01:23,853 | INFO | fetch_stocks | Initial fetch | ticker=ONGC.NS
2026-05-03 03:01:24,921 | INFO | fetch_stocks | Stored 248 rows | ticker=ONGC.NS
2026-05-03 03:01:25,423 | INFO | fetch_stocks | [26/50] Processing | ticker=TATAMOTORS.NS
2026-05-03 03:01:26,080 | INFO | fetch_stocks | Initial fetch | ticker=TATAMOTORS.NS
2026-05-03 03:01:28,439 | INFO | fetch_stocks | No new data | ticker=TATAMOTORS.NS
2026-05-03 03:01:28,940 | INFO | fetch_stocks | [27/50] Processing | ticker=TATASTEEL.NS
2026-05-03 03:01:29,620 | INFO | fetch_stocks | Initial fetch | ticker=TATASTEEL.NS
2026-05-03 03:01:30,913 | INFO | fetch_stocks | Stored 248 rows | ticker=TATASTEEL.NS
2026-05-03 03:01:31,414 | INFO | fetch_stocks | [28/50] Processing | ticker=BAJAJFINSV.NS
2026-05-03 03:01:32,094 | INFO | fetch_stocks | Initial fetch | ticker=BAJAJFINSV.NS
2026-05-03 03:01:33,490 | INFO | fetch_stocks | Stored 248 rows | ticker=BAJAJFINSV.NS
2026-05-03 03:01:33,992 | INFO | fetch_stocks | [29/50] Processing | ticker=ADANIENT.NS
2026-05-03 03:01:34,673 | INFO | fetch_stocks | Initial fetch | ticker=ADANIENT.NS
2026-05-03 03:01:35,731 | INFO | fetch_stocks | Stored 248 rows | ticker=ADANIENT.NS
2026-05-03 03:01:36,233 | INFO | fetch_stocks | [30/50] Processing | ticker=ADANIPORTS.NS
2026-05-03 03:01:36,928 | INFO | fetch_stocks | Initial fetch | ticker=ADANIPORTS.NS
2026-05-03 03:01:38,022 | INFO | fetch_stocks | Stored 248 rows | ticker=ADANIPORTS.NS
2026-05-03 03:01:38,523 | INFO | fetch_stocks | [31/50] Processing | ticker=COALINDIA.NS
2026-05-03 03:01:39,202 | INFO | fetch_stocks | Initial fetch | ticker=COALINDIA.NS
2026-05-03 03:01:40,301 | INFO | fetch_stocks | Stored 248 rows | ticker=COALINDIA.NS
2026-05-03 03:01:40,803 | INFO | fetch_stocks | [32/50] Processing | ticker=DIVISLAB.NS
2026-05-03 03:01:41,474 | INFO | fetch_stocks | Initial fetch | ticker=DIVISLAB.NS
2026-05-03 03:01:42,554 | INFO | fetch_stocks | Stored 248 rows | ticker=DIVISLAB.NS
2026-05-03 03:01:43,055 | INFO | fetch_stocks | [33/50] Processing | ticker=DRREDDY.NS
2026-05-03 03:01:43,727 | INFO | fetch_stocks | Initial fetch | ticker=DRREDDY.NS
2026-05-03 03:01:44,818 | INFO | fetch_stocks | Stored 248 rows | ticker=DRREDDY.NS
2026-05-03 03:01:45,324 | INFO | fetch_stocks | [34/50] Processing | ticker=EICHERMOT.NS
2026-05-03 03:01:46,002 | INFO | fetch_stocks | Initial fetch | ticker=EICHERMOT.NS
2026-05-03 03:01:47,038 | INFO | fetch_stocks | Stored 248 rows | ticker=EICHERMOT.NS
2026-05-03 03:01:47,542 | INFO | fetch_stocks | [35/50] Processing | ticker=GRASIM.NS
2026-05-03 03:01:48,226 | INFO | fetch_stocks | Initial fetch | ticker=GRASIM.NS
2026-05-03 03:01:49,326 | INFO | fetch_stocks | Stored 248 rows | ticker=GRASIM.NS
2026-05-03 03:01:49,827 | INFO | fetch_stocks | [36/50] Processing | ticker=HEROMOTOCO.NS
2026-05-03 03:01:50,485 | INFO | fetch_stocks | Initial fetch | ticker=HEROMOTOCO.NS
2026-05-03 03:01:51,556 | INFO | fetch_stocks | Stored 248 rows | ticker=HEROMOTOCO.NS
2026-05-03 03:01:52,058 | INFO | fetch_stocks | [37/50] Processing | ticker=HINDALCO.NS
2026-05-03 03:01:52,708 | INFO | fetch_stocks | Initial fetch | ticker=HINDALCO.NS
2026-05-03 03:01:53,763 | INFO | fetch_stocks | Stored 248 rows | ticker=HINDALCO.NS
2026-05-03 03:01:54,268 | INFO | fetch_stocks | [38/50] Processing | ticker=JSWSTEEL.NS
2026-05-03 03:01:54,957 | INFO | fetch_stocks | Initial fetch | ticker=JSWSTEEL.NS
2026-05-03 03:01:56,006 | INFO | fetch_stocks | Stored 248 rows | ticker=JSWSTEEL.NS
2026-05-03 03:01:56,508 | INFO | fetch_stocks | [39/50] Processing | ticker=M&M.NS
2026-05-03 03:01:57,169 | INFO | fetch_stocks | Initial fetch | ticker=M&M.NS
2026-05-03 03:01:58,273 | INFO | fetch_stocks | Stored 248 rows | ticker=M&M.NS
2026-05-03 03:01:58,777 | INFO | fetch_stocks | [40/50] Processing | ticker=BRITANNIA.NS
2026-05-03 03:01:59,456 | INFO | fetch_stocks | Initial fetch | ticker=BRITANNIA.NS
2026-05-03 03:02:00,610 | INFO | fetch_stocks | Stored 248 rows | ticker=BRITANNIA.NS
2026-05-03 03:02:01,112 | INFO | fetch_stocks | [41/50] Processing | ticker=CIPLA.NS
2026-05-03 03:02:01,771 | INFO | fetch_stocks | Initial fetch | ticker=CIPLA.NS
2026-05-03 03:02:02,829 | INFO | fetch_stocks | Stored 248 rows | ticker=CIPLA.NS
2026-05-03 03:02:03,331 | INFO | fetch_stocks | [42/50] Processing | ticker=APOLLOHOSP.NS
2026-05-03 03:02:03,984 | INFO | fetch_stocks | Initial fetch | ticker=APOLLOHOSP.NS
2026-05-03 03:02:05,060 | INFO | fetch_stocks | Stored 248 rows | ticker=APOLLOHOSP.NS
2026-05-03 03:02:05,561 | INFO | fetch_stocks | [43/50] Processing | ticker=BAJAJ-AUTO.NS
2026-05-03 03:02:06,237 | INFO | fetch_stocks | Initial fetch | ticker=BAJAJ-AUTO.NS
2026-05-03 03:02:07,290 | INFO | fetch_stocks | Stored 248 rows | ticker=BAJAJ-AUTO.NS
2026-05-03 03:02:07,791 | INFO | fetch_stocks | [44/50] Processing | ticker=BPCL.NS
2026-05-03 03:02:08,448 | INFO | fetch_stocks | Initial fetch | ticker=BPCL.NS
2026-05-03 03:02:09,524 | INFO | fetch_stocks | Stored 248 rows | ticker=BPCL.NS
2026-05-03 03:02:10,027 | INFO | fetch_stocks | [45/50] Processing | ticker=SBILIFE.NS
2026-05-03 03:02:10,695 | INFO | fetch_stocks | Initial fetch | ticker=SBILIFE.NS
2026-05-03 03:02:11,721 | INFO | fetch_stocks | Stored 248 rows | ticker=SBILIFE.NS
2026-05-03 03:02:12,222 | INFO | fetch_stocks | [46/50] Processing | ticker=HDFCLIFE.NS
2026-05-03 03:02:12,890 | INFO | fetch_stocks | Initial fetch | ticker=HDFCLIFE.NS
2026-05-03 03:02:13,910 | INFO | fetch_stocks | Stored 248 rows | ticker=HDFCLIFE.NS
2026-05-03 03:02:14,411 | INFO | fetch_stocks | [47/50] Processing | ticker=INDUSINDBK.NS
2026-05-03 03:02:15,096 | INFO | fetch_stocks | Initial fetch | ticker=INDUSINDBK.NS
2026-05-03 03:02:16,148 | INFO | fetch_stocks | Stored 248 rows | ticker=INDUSINDBK.NS
2026-05-03 03:02:16,649 | INFO | fetch_stocks | [48/50] Processing | ticker=TATACONSUM.NS
2026-05-03 03:02:17,314 | INFO | fetch_stocks | Initial fetch | ticker=TATACONSUM.NS
2026-05-03 03:02:18,370 | INFO | fetch_stocks | Stored 248 rows | ticker=TATACONSUM.NS
2026-05-03 03:02:18,872 | INFO | fetch_stocks | [49/50] Processing | ticker=UPL.NS
2026-05-03 03:02:19,539 | INFO | fetch_stocks | Initial fetch | ticker=UPL.NS
2026-05-03 03:02:20,590 | INFO | fetch_stocks | Stored 248 rows | ticker=UPL.NS
2026-05-03 03:02:21,090 | INFO | fetch_stocks | [50/50] Processing | ticker=VEDL.NS
2026-05-03 03:02:21,749 | INFO | fetch_stocks | Initial fetch | ticker=VEDL.NS
2026-05-03 03:02:23,000 | INFO | fetch_stocks | Stored 248 rows | ticker=VEDL.NS
2026-05-03 03:02:23,501 | INFO | fetch_stocks | === Fetch complete | total_rows=12152 ===
2026-05-03 03:02:23,501 | WARNING | fetch_stocks | No new data or errors: ['TATAMOTORS.NS']
2026-05-03 03:10:26,402 | INFO | fetch_stocks | === Fetch started | total_tickers=50 ===
2026-05-03 03:10:26,403 | INFO | fetch_stocks | [1/50] Processing | ticker=RELIANCE.NS
2026-05-03 03:10:28,859 | INFO | fetch_stocks | Incremental fetch | ticker=RELIANCE.NS | from=2026-04-30
2026-05-03 03:10:29,762 | INFO | fetch_stocks | No new data | ticker=RELIANCE.NS
2026-05-03 03:10:30,265 | INFO | fetch_stocks | [2/50] Processing | ticker=TCS.NS
2026-05-03 03:10:30,972 | INFO | fetch_stocks | Incremental fetch | ticker=TCS.NS | from=2026-04-30
2026-05-03 03:10:31,317 | INFO | fetch_stocks | No new data | ticker=TCS.NS
2026-05-03 03:10:31,825 | INFO | fetch_stocks | [3/50] Processing | ticker=HDFCBANK.NS
2026-05-03 03:10:32,547 | INFO | fetch_stocks | Incremental fetch | ticker=HDFCBANK.NS | from=2026-04-30
2026-05-03 03:10:32,849 | INFO | fetch_stocks | No new data | ticker=HDFCBANK.NS
2026-05-03 03:10:33,352 | INFO | fetch_stocks | [4/50] Processing | ticker=INFY.NS
2026-05-03 03:10:34,065 | INFO | fetch_stocks | Incremental fetch | ticker=INFY.NS | from=2026-04-30
2026-05-03 03:10:34,386 | INFO | fetch_stocks | No new data | ticker=INFY.NS
2026-05-03 03:10:34,887 | INFO | fetch_stocks | [5/50] Processing | ticker=ICICIBANK.NS
2026-05-03 03:10:35,603 | INFO | fetch_stocks | Incremental fetch | ticker=ICICIBANK.NS | from=2026-04-30
